bowler,matches,total_wickets,total_runs_conceded,balls_bowled,economy_rate,bowling_average,strike_rate,powerplay_wickets,death_overs_wickets,fantasy_points
JP Faulkner,36,70,9,70,0.7714285714285714,0.1285714285714285,1.0,17.0,35.0,1797
JPR Scantlebury-Searles,2,2,0,2,0.0,0.0,1.0,0.0,0.0,60
JR Hazlewood,18,36,0,36,0.0,0.0,1.0,14.0,14.0,937
JR Hopes,11,13,0,13,0.0,0.0,1.0,1.0,4.0,354
JW Hastings,2,3,0,3,0.0,0.0,1.0,1.0,1.0,90
Jaskaran Singh,4,6,0,6,0.0,0.0,1.0,2.0,3.0,177
Joginder Sharma,10,13,0,13,0.0,0.0,1.0,0.0,3.0,354
K Gowtham,17,22,1,22,0.2727272727272727,0.0454545454545454,1.0,11.0,0.0,581
K Kartikeya,7,10,0,10,0.0,0.0,1.0,1.0,0.0,277
K Khejroliya,3,5,0,5,0.0,0.0,1.0,0.0,3.0,150
K Rabada,64,126,2,126,0.0952380952380952,0.0158730158730158,1.0,35.0,55.0,3217
K Santokie,2,3,0,3,0.0,0.0,1.0,1.0,1.0,90
K Yadav,2,2,0,2,0.0,0.0,1.0,0.0,2.0,60
KA Jamieson,6,9,0,9,0.0,0.0,1.0,4.0,2.0,252
KA Maharaj,1,2,0,2,0.0,0.0,1.0,0.0,0.0,60
KA Pollard,53,76,4,76,0.3157894736842105,0.0526315789473684,1.0,1.0,21.0,1949
KC Cariappa,6,8,0,8,0.0,0.0,1.0,0.0,0.0,227
KH Pandya,48,80,2,80,0.15,0.025,1.0,16.0,12.0,2051
KJ Abbott,2,2,0,2,0.0,0.0,1.0,0.0,0.0,60
KK Ahmed,44,78,1,78,0.0769230769230769,0.0128205128205128,1.0,27.0,33.0,2001
KK Cooper,17,35,2,35,0.3428571428571428,0.0571428571428571,1.0,4.0,19.0,910
KL Nagarkoti,4,5,0,5,0.0,0.0,1.0,0.0,1.0,150
KM Asif,5,7,0,7,0.0,0.0,1.0,3.0,0.0,202
KMA Paul,4,10,1,10,0.6000000000000001,0.1,1.0,0.0,4.0,277
KMDN Kulasekara,2,2,0,2,0.0,0.0,1.0,0.0,2.0,60
KP Appanna,6,10,1,10,0.6000000000000001,0.1,1.0,0.0,0.0,277
KP Pietersen,7,9,0,9,0.0,0.0,1.0,1.0,1.0,252
KR Sen,8,14,0,14,0.0,0.0,1.0,2.0,4.0,379
KT Maphaka,1,1,0,1,0.0,0.0,1.0,1.0,0.0,35
KV Sharma,50,81,10,81,0.7407407407407407,0.1234567901234567,1.0,7.0,5.0,2076
KW Richardson,11,19,1,19,0.3157894736842105,0.0526315789473684,1.0,9.0,8.0,506
Kamran Khan,5,14,1,14,0.4285714285714285,0.0714285714285714,1.0,6.0,5.0,379
Karanveer Singh,7,14,0,14,0.0,0.0,1.0,0.0,4.0,379
Kartik Tyagi,13,16,1,16,0.375,0.0625,1.0,5.0,6.0,429
Kuldeep Yadav,52,90,3,90,0.2,0.0333333333333333,1.0,0.0,17.0,2305
L Ablish,2,5,0,5,0.0,0.0,1.0,1.0,3.0,150
L Balaji,46,78,4,78,0.3076923076923077,0.0512820512820512,1.0,15.0,30.0,2001
L Ngidi,13,28,2,28,0.4285714285714285,0.0714285714285714,1.0,8.0,13.0,733
L Wood,1,1,0,1,0.0,0.0,1.0,0.0,0.0,35
LA Carseldine,1,1,0,1,0.0,0.0,1.0,1.0,0.0,35
LB Williams,1,1,0,1,0.0,0.0,1.0,0.0,0.0,35
LE Plunkett,2,4,0,4,0.0,0.0,1.0,1.0,2.0,115
LH Ferguson,31,57,4,57,0.4210526315789473,0.0701754385964912,1.0,17.0,17.0,1468
LI Meriwala,1,1,0,1,0.0,0.0,1.0,0.0,0.0,35
LMP Simmons,1,1,0,1,0.0,0.0,1.0,0.0,0.0,35
LR Shukla,13,17,0,17,0.0,0.0,1.0,0.0,8.0,454
LS Livingstone,7,11,0,11,0.0,0.0,1.0,1.0,0.0,302
Lalit Yadav,9,11,0,11,0.0,0.0,1.0,2.0,1.0,302
M Ashwin,24,35,0,35,0.0,0.0,1.0,2.0,6.0,910
M Jansen,14,22,1,22,0.2727272727272727,0.0454545454545454,1.0,14.0,2.0,581
M Kartik,22,30,4,30,0.8,0.1333333333333333,1.0,4.0,4.0,785
M Markande,22,37,1,37,0.1621621621621621,0.027027027027027,1.0,0.0,1.0,962
M Morkel,47,80,9,80,0.675,0.1125,1.0,33.0,33.0,2051
M Muralitharan,40,63,0,63,0.0,0.0,1.0,3.0,13.0,1620
M Ntini,4,8,1,8,0.75,0.125,1.0,5.0,3.0,227
M Pathirana,19,38,1,38,0.1578947368421052,0.0263157894736842,1.0,0.0,26.0,987
M Prasidh Krishna,34,54,2,54,0.2222222222222222,0.037037037037037,1.0,16.0,23.0,1393
M Siddharth,1,1,0,1,0.0,0.0,1.0,1.0,0.0,35
M Theekshana,15,25,0,25,0.0,0.0,1.0,9.0,8.0,658
M de Lange,2,3,0,3,0.0,0.0,1.0,0.0,2.0,90
MA Khote,1,2,0,2,0.0,0.0,1.0,0.0,1.0,60
MA Starc,30,59,2,59,0.2033898305084746,0.0338983050847457,1.0,20.0,30.0,1518
MA Wood,4,11,0,11,0.0,0.0,1.0,2.0,6.0,302
MC Henriques,30,44,2,44,0.2727272727272727,0.0454545454545454,1.0,8.0,3.0,1139
MF Maharoof,15,33,2,33,0.3636363636363636,0.0606060606060606,1.0,11.0,10.0,860
MG Bracewell,4,6,0,6,0.0,0.0,1.0,3.0,0.0,177
MG Johnson,36,61,2,61,0.1967213114754098,0.0327868852459016,1.0,25.0,26.0,1570
MJ Henry,2,3,1,3,2.0,0.3333333333333333,1.0,1.0,2.0,90
MJ McClenaghan,43,75,0,75,0.0,0.0,1.0,32.0,28.0,1924
MJ Santner,13,16,0,16,0.0,0.0,1.0,2.0,1.0,429
MK Lomror,2,2,1,2,3.0,0.5,1.0,1.0,0.0,60
MK Tiwary,1,1,0,1,0.0,0.0,1.0,0.0,1.0,35
MM Ali,26,40,1,40,0.15,0.025,1.0,2.0,2.0,1037
MM Patel,37,74,1,74,0.081081081081081,0.0135135135135135,1.0,25.0,20.0,1899
MM Sharma,75,144,9,144,0.375,0.0625,1.0,35.0,72.0,3673
MP Stoinis,31,45,0,45,0.0,0.0,1.0,8.0,15.0,1164
MP Yadav,3,8,0,8,0.0,0.0,1.0,2.0,1.0,227
MR Marsh,13,23,0,23,0.0,0.0,1.0,6.0,5.0,606
MS Gony,24,35,2,35,0.3428571428571428,0.0571428571428571,1.0,18.0,4.0,910
Mashrafe Mortaza,1,1,1,1,6.0,1.0,1.0,0.0,1.0,25
Mayank Dagar,2,2,0,2,0.0,0.0,1.0,0.0,0.0,60
Mohammad Asif,6,9,1,9,0.6666666666666666,0.1111111111111111,1.0,3.0,5.0,252
Mohammad Hafeez,2,2,0,2,0.0,0.0,1.0,0.0,0.0,60
Mohammad Nabi,10,15,0,15,0.0,0.0,1.0,7.0,2.0,404
Mohammed Shami,83,144,7,144,0.2916666666666667,0.0486111111111111,1.0,51.0,69.0,3673
Mohammed Siraj,58,96,5,96,0.3125,0.0520833333333333,1.0,37.0,38.0,2457
Mohsin Khan,17,27,0,27,0.0,0.0,1.0,11.0,10.0,708
Mujeeb Ur Rahman,11,20,0,20,0.0,0.0,1.0,5.0,5.0,531
Mukesh Choudhary,8,16,0,16,0.0,0.0,1.0,11.0,2.0,429
Mukesh Kumar,16,31,8,31,1.5483870967741935,0.2580645161290322,1.0,5.0,16.0,810
Mustafizur Rahman,40,70,3,70,0.2571428571428571,0.0428571428571428,1.0,15.0,37.0,1797
N Burger,5,7,0,7,0.0,0.0,1.0,4.0,1.0,202
N Rana,7,10,0,10,0.0,0.0,1.0,0.0,2.0,277
N Thushara,4,8,0,8,0.0,0.0,1.0,6.0,2.0,227
NB Singh,1,1,0,1,0.0,0.0,1.0,1.0,0.0,35
ND Doshi,1,1,0,1,0.0,0.0,1.0,0.0,1.0,35
NLTC Perera,16,26,0,26,0.0,0.0,1.0,4.0,16.0,683
NM Coulter-Nile,26,52,3,52,0.3461538461538461,0.0576923076923076,1.0,15.0,22.0,1341
NT Ellis,11,19,1,19,0.3157894736842105,0.0526315789473684,1.0,4.0,5.0,506
Navdeep Saini,17,26,0,26,0.0,0.0,1.0,9.0,12.0,683
Naveen-ul-Haq,12,26,0,26,0.0,0.0,1.0,6.0,11.0,683
Nithish Kumar Reddy,3,4,1,4,1.5,0.25,1.0,0.0,1.0,115
Noor Ahmad,14,24,1,24,0.25,0.0416666666666666,1.0,1.0,4.0,633
O Thomas,3,5,0,5,0.0,0.0,1.0,2.0,2.0,150
OC McCoy,6,11,0,11,0.0,0.0,1.0,0.0,8.0,302
OF Smith,4,7,0,7,0.0,0.0,1.0,1.0,4.0,202
P Amarnath,5,7,0,7,0.0,0.0,1.0,0.0,0.0,202
P Awana,22,39,1,39,0.1538461538461538,0.0256410256410256,1.0,14.0,14.0,1012
P Dubey,1,1,0,1,0.0,0.0,1.0,0.0,0.0,35
P Kumar,63,96,3,96,0.1875,0.03125,1.0,40.0,39.0,2457
P Negi,25,38,3,38,0.4736842105263157,0.0789473684210526,1.0,3.0,8.0,987
P Parameswaran,3,5,0,5,0.0,0.0,1.0,1.0,3.0,150
P Sahu,2,3,0,3,0.0,0.0,1.0,0.0,0.0,90
P Suyal,2,2,0,2,0.0,0.0,1.0,1.0,0.0,60
PC Valthaty,4,7,0,7,0.0,0.0,1.0,0.0,2.0,202
PD Collingwood,4,5,0,5,0.0,0.0,1.0,0.0,3.0,150
PH Solanki,1,2,0,2,0.0,0.0,1.0,0.0,1.0,60
PJ Cummins,40,66,1,66,0.0909090909090909,0.0151515151515151,1.0,21.0,20.0,1697
PJ Sangwan,29,44,2,44,0.2727272727272727,0.0454545454545454,1.0,16.0,5.0,1139
PM Sarvesh Kumar,1,1,0,1,0.0,0.0,1.0,0.0,0.0,35
PP Chawla,125,198,6,198,0.1818181818181818,0.0303030303030303,1.0,21.0,29.0,5041
PP Ojha,54,91,3,91,0.1978021978021978,0.0329670329670329,1.0,6.0,17.0,2330
PV Tambe,18,28,1,28,0.2142857142857142,0.0357142857142857,1.0,3.0,1.0,733
PVD Chameera,6,11,1,11,0.5454545454545454,0.0909090909090909,1.0,7.0,3.0,302
PWH de Silva,20,36,0,36,0.0,0.0,1.0,4.0,8.0,937
Pankaj Singh,6,11,0,11,0.0,0.0,1.0,8.0,1.0,302
