bowler,matches,total_wickets,total_runs_conceded,balls_bowled,economy_rate,bowling_average,strike_rate,powerplay_wickets,death_overs_wickets,Powerplay_Wicket_Percentage,DeathOver_Wicket_Percentage,Control
DNT Zoysa,2,2,0,2,0.0,0.0,1.0,0.0,1.0,0.0,0.5,
DP Nannes,21,37,3,37,0.4864864864864865,0.081081081081081,1.0,17.0,19.0,0.4594594594594595,0.5135135135135135,0.1666666666666665
DP Vijaykumar,4,4,0,4,0.0,0.0,1.0,3.0,1.0,0.75,0.25,
DR Sams,10,15,1,15,0.4,0.0666666666666666,1.0,8.0,2.0,0.5333333333333333,0.13333333333333333,0.1666666666666665
DR Smith,18,27,0,27,0.0,0.0,1.0,5.0,4.0,0.18518518518518517,0.14814814814814814,
DS Kulkarni,56,91,2,91,0.1318681318681318,0.0219780219780219,1.0,46.0,20.0,0.5054945054945055,0.21978021978021978,0.16666666666666619
DT Christian,26,36,1,36,0.1666666666666666,0.0277777777777777,1.0,7.0,9.0,0.19444444444444445,0.25,0.16666666666666627
DW Steyn,55,97,1,97,0.0618556701030927,0.0103092783505154,1.0,34.0,42.0,0.35051546391752575,0.4329896907216495,0.16666666666666585
FA Allen,2,2,0,2,0.0,0.0,1.0,1.0,0.0,0.5,0.0,
FH Edwards,4,6,0,6,0.0,0.0,1.0,4.0,2.0,0.6666666666666666,0.3333333333333333,
FY Fazal,1,1,1,1,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.16666666666666666
Fazalhaq Farooqi,4,6,0,6,0.0,0.0,1.0,3.0,1.0,0.5,0.16666666666666666,
G Coetzee,7,13,0,13,0.0,0.0,1.0,3.0,6.0,0.23076923076923078,0.46153846153846156,
GB Hogg,15,25,0,25,0.0,0.0,1.0,5.0,6.0,0.2,0.24,
GC Viljoen,5,8,0,8,0.0,0.0,1.0,3.0,1.0,0.375,0.125,
GD McGrath,9,14,0,14,0.0,0.0,1.0,9.0,2.0,0.6428571428571429,0.14285714285714285,
GD Phillips,2,2,0,2,0.0,0.0,1.0,1.0,0.0,0.5,0.0,
GH Vihari,1,1,0,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,
GHS Garton,3,3,0,3,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,
GJ Maxwell,31,41,1,41,0.1463414634146341,0.024390243902439,1.0,10.0,3.0,0.24390243902439024,0.07317073170731707,0.16666666666666655
GR Napier,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
GS Sandhu,1,1,0,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,
Gagandeep Singh,3,3,0,3,0.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,
Gurkeerat Singh,3,5,0,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
HF Gurney,5,7,0,7,0.0,0.0,1.0,2.0,3.0,0.2857142857142857,0.42857142857142855,
HH Pandya,45,70,4,70,0.3428571428571428,0.0571428571428571,1.0,13.0,22.0,0.18571428571428572,0.3142857142857143,0.16666666666666655
HR Shokeen,3,5,0,5,0.0,0.0,1.0,2.0,0.0,0.4,0.0,
HV Patel,80,149,6,149,0.2416107382550335,0.0402684563758389,1.0,12.0,74.0,0.08053691275167785,0.4966442953020134,0.16666666666666657
Harbhajan Singh,90,154,7,154,0.2727272727272727,0.0454545454545454,1.0,29.0,20.0,0.18831168831168832,0.12987012987012986,0.1666666666666665
Harmeet Singh,15,25,2,25,0.48,0.08,1.0,6.0,6.0,0.24,0.24,0.16666666666666669
Harpreet Brar,15,25,0,25,0.0,0.0,1.0,0.0,3.0,0.0,0.12,
Harshit Rana,15,27,1,27,0.2222222222222222,0.037037037037037,1.0,10.0,6.0,0.37037037037037035,0.2222222222222222,0.1666666666666665
I Sharma,60,90,1,90,0.0666666666666666,0.0111111111111111,1.0,55.0,19.0,0.6111111111111112,0.2111111111111111,0.16666666666666666
I Udana,6,8,0,8,0.0,0.0,1.0,2.0,2.0,0.25,0.25,
IC Pandey,14,18,0,18,0.0,0.0,1.0,11.0,1.0,0.6111111111111112,0.05555555555555555,
IC Porel,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
IK Pathan,59,93,10,93,0.6451612903225806,0.1075268817204301,1.0,29.0,39.0,0.3118279569892473,0.41935483870967744,0.16666666666666666
IS Sodhi,7,9,0,9,0.0,0.0,1.0,2.0,0.0,0.2222222222222222,0.0,
Imran Tahir,44,86,2,86,0.1395348837209302,0.0232558139534883,1.0,3.0,23.0,0.03488372093023256,0.26744186046511625,0.16666666666666616
Iqbal Abdulla,23,40,0,40,0.0,0.0,1.0,13.0,4.0,0.325,0.1,
J Botha,16,22,0,22,0.0,0.0,1.0,2.0,7.0,0.09090909090909091,0.3181818181818182,
J Little,7,13,1,13,0.4615384615384615,0.0769230769230769,1.0,3.0,2.0,0.23076923076923078,0.15384615384615385,0.16666666666666663
J Suchith,16,20,0,20,0.0,0.0,1.0,3.0,1.0,0.15,0.05,
J Syed Mohammad,6,9,1,9,0.6666666666666666,0.1111111111111111,1.0,1.0,0.0,0.1111111111111111,0.0,0.16666666666666666
J Theron,7,11,0,11,0.0,0.0,1.0,2.0,4.0,0.18181818181818182,0.36363636363636365,
J Yadav,8,9,0,9,0.0,0.0,1.0,4.0,0.0,0.4444444444444444,0.0,
JA Morkel,56,91,4,91,0.2637362637362637,0.0439560439560439,1.0,33.0,35.0,0.3626373626373626,0.38461538461538464,0.16666666666666646
JA Richardson,2,3,0,3,0.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,
JC Archer,29,49,0,49,0.0,0.0,1.0,17.0,20.0,0.3469387755102041,0.40816326530612246,
JD Ryder,3,5,0,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
JD Unadkat,60,105,5,105,0.2857142857142857,0.0476190476190476,1.0,21.0,50.0,0.2,0.47619047619047616,0.1666666666666666
JDP Oram,6,12,2,12,1.0,0.1666666666666666,1.0,3.0,8.0,0.25,0.6666666666666666,0.1666666666666666
JDS Neesham,5,8,0,8,0.0,0.0,1.0,1.0,0.0,0.125,0.0,
JEC Franklin,6,8,0,8,0.0,0.0,1.0,1.0,1.0,0.125,0.125,
JH Kallis,43,68,2,68,0.1764705882352941,0.0294117647058823,1.0,19.0,22.0,0.27941176470588236,0.3235294117647059,0.16666666666666638
JJ Bumrah,90,182,4,182,0.1318681318681318,0.0219780219780219,1.0,39.0,89.0,0.21428571428571427,0.489010989010989,0.16666666666666619
JJ van der Wath,2,3,0,3,0.0,0.0,1.0,0.0,2.0,0.0,0.6666666666666666,
JL Pattinson,6,11,0,11,0.0,0.0,1.0,4.0,3.0,0.36363636363636365,0.2727272727272727,
JM Kemp,1,3,0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
JO Holder,29,59,2,59,0.2033898305084746,0.0338983050847457,1.0,12.0,24.0,0.2033898305084746,0.4067796610169492,0.16666666666666635
JP Behrendorff,12,22,1,22,0.2727272727272727,0.0454545454545454,1.0,11.0,8.0,0.5,0.36363636363636365,0.1666666666666665
JP Duminy,16,22,0,22,0.0,0.0,1.0,3.0,3.0,0.13636363636363635,0.13636363636363635,
JP Faulkner,36,70,9,70,0.7714285714285714,0.1285714285714285,1.0,17.0,35.0,0.24285714285714285,0.5,0.1666666666666666
JPR Scantlebury-Searles,2,2,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
JR Hazlewood,18,36,0,36,0.0,0.0,1.0,14.0,14.0,0.3888888888888889,0.3888888888888889,
JR Hopes,11,13,0,13,0.0,0.0,1.0,1.0,4.0,0.07692307692307693,0.3076923076923077,
JW Hastings,2,3,0,3,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,
Jaskaran Singh,4,6,0,6,0.0,0.0,1.0,2.0,3.0,0.3333333333333333,0.5,
Joginder Sharma,10,13,0,13,0.0,0.0,1.0,0.0,3.0,0.0,0.23076923076923078,
K Gowtham,17,22,1,22,0.2727272727272727,0.0454545454545454,1.0,11.0,0.0,0.5,0.0,0.1666666666666665
K Kartikeya,7,10,0,10,0.0,0.0,1.0,1.0,0.0,0.1,0.0,
K Khejroliya,3,5,0,5,0.0,0.0,1.0,0.0,3.0,0.0,0.6,
K Rabada,64,126,2,126,0.0952380952380952,0.0158730158730158,1.0,35.0,55.0,0.2777777777777778,0.4365079365079365,0.16666666666666594
K Santokie,2,3,0,3,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,
K Yadav,2,2,0,2,0.0,0.0,1.0,0.0,2.0,0.0,1.0,
KA Jamieson,6,9,0,9,0.0,0.0,1.0,4.0,2.0,0.4444444444444444,0.2222222222222222,
KA Maharaj,1,2,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
KA Pollard,53,76,4,76,0.3157894736842105,0.0526315789473684,1.0,1.0,21.0,0.013157894736842105,0.27631578947368424,0.1666666666666666
KC Cariappa,6,8,0,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
KH Pandya,48,80,2,80,0.15,0.025,1.0,16.0,12.0,0.2,0.15,0.16666666666666669
KJ Abbott,2,2,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
KK Ahmed,44,78,1,78,0.0769230769230769,0.0128205128205128,1.0,27.0,33.0,0.34615384615384615,0.4230769230769231,0.16666666666666644
KK Cooper,17,35,2,35,0.3428571428571428,0.0571428571428571,1.0,4.0,19.0,0.11428571428571428,0.5428571428571428,0.16666666666666655
KL Nagarkoti,4,5,0,5,0.0,0.0,1.0,0.0,1.0,0.0,0.2,
KM Asif,5,7,0,7,0.0,0.0,1.0,3.0,0.0,0.42857142857142855,0.0,
KMA Paul,4,10,1,10,0.6000000000000001,0.1,1.0,0.0,4.0,0.0,0.4,0.16666666666666666
KMDN Kulasekara,2,2,0,2,0.0,0.0,1.0,0.0,2.0,0.0,1.0,
KP Appanna,6,10,1,10,0.6000000000000001,0.1,1.0,0.0,0.0,0.0,0.0,0.16666666666666666
KP Pietersen,7,9,0,9,0.0,0.0,1.0,1.0,1.0,0.1111111111111111,0.1111111111111111,
KR Sen,8,14,0,14,0.0,0.0,1.0,2.0,4.0,0.14285714285714285,0.2857142857142857,
