batter,matches,total_runs,balls_faced,fours,sixes,dismissals,strike_rate,batting_average,powerplay_runs,death_overs_runs
WPUJC Vaas,11,75,70,2,2,7,107.14285714285714,10.714285714285714,0.0,49.0
Washington Sundar,36,377,317,32,9,27,118.92744479495268,13.962962962962964,16.0,212.0
X Thalaivan Sargunam,1,10,17,0,0,1,58.82352941176471,10.0,0.0,0.0
Y Nagar,17,221,180,15,9,12,122.77777777777779,18.416666666666668,2.0,129.0
Y Prithvi Raj,1,0,1,0,0,0,0.0,0.0,0.0,0.0
Y Venugopal Rao,48,908,746,70,34,39,121.71581769436996,23.28205128205128,75.0,289.0
YBK Jaiswal,52,1595,1045,198,63,49,152.63157894736844,32.55102040816327,997.0,48.0
YK Pathan,146,3056,2082,248,156,104,146.7819404418828,29.384615384615383,357.0,810.0
YS Chahal,16,37,84,0,0,6,44.047619047619044,6.166666666666667,0.0,32.0
YV Dhull,3,16,23,1,0,3,69.56521739130434,5.333333333333333,2.0,0.0
YV Takawale,10,191,171,26,3,8,111.69590643274854,23.875,121.0,28.0
Yash Dayal,1,0,1,0,0,1,0.0,0.0,0.0,0.0
Yashpal Singh,4,47,65,5,0,4,72.3076923076923,11.75,17.0,11.0
Younis Khan,1,3,7,0,0,1,42.857142857142854,3.0,3.0,0.0
Yudhvir Singh,4,22,16,1,2,4,137.5,5.5,0.0,1.0
Yuvraj Singh,100,2161,1642,178,116,88,131.60779537149818,24.556818181818183,158.0,448.0
Z Khan,27,116,137,11,2,15,84.67153284671532,7.733333333333333,0.0,100.0
