bowler,matches,total_wickets,total_runs_conceded,balls_bowled,economy_rate,bowling_average,strike_rate,powerplay_wickets,death_overs_wickets
CK Langeveldt,7,13,0,13,0.0,0.0,1.0,6.0,4.0
CL White,1,1,0,1,0.0,0.0,1.0,0.0,0.0
CR Brathwaite,10,16,1,16,0.375,0.0625,1.0,1.0,6.0
CR Woakes,17,31,0,31,0.0,0.0,1.0,6.0,15.0
CRD Fernando,9,19,0,19,0.0,0.0,1.0,7.0,7.0
CV Varun,50,85,2,85,0.1411764705882353,0.023529411764705882,1.0,13.0,8.0
D Brevis,1,1,0,1,0.0,0.0,1.0,0.0,1.0
D Jansen,1,1,0,1,0.0,0.0,1.0,0.0,1.0
D Kalyankrishna,2,2,0,2,0.0,0.0,1.0,0.0,0.0
D Pretorius,4,7,0,7,0.0,0.0,1.0,0.0,2.0
D Salunkhe,1,1,0,1,0.0,0.0,1.0,0.0,0.0
D Wiese,9,17,0,17,0.0,0.0,1.0,6.0,8.0
D du Preez,2,4,0,4,0.0,0.0,1.0,3.0,0.0
DAJ Bracewell,1,3,0,3,0.0,0.0,1.0,0.0,2.0
DB Ravi Teja,1,1,0,1,0.0,0.0,1.0,0.0,0.0
DE Bollinger,16,33,2,33,0.36363636363636365,0.06060606060606061,1.0,9.0,20.0
DG Nalkande,4,6,0,6,0.0,0.0,1.0,0.0,1.0
DJ Bravo,114,201,10,201,0.2985074626865672,0.04975124378109453,1.0,13.0,111.0
DJ Hooda,9,10,1,10,0.6000000000000001,0.1,1.0,2.0,1.0
DJ Hussey,7,10,0,10,0.0,0.0,1.0,0.0,2.0
DJ Mitchell,1,1,0,1,0.0,0.0,1.0,0.0,0.0
DJ Muthuswami,3,4,0,4,0.0,0.0,1.0,3.0,1.0
DJ Thornely,2,3,0,3,0.0,0.0,1.0,0.0,0.0
DJ Willey,5,7,0,7,0.0,0.0,1.0,3.0,2.0
DJG Sammy,6,14,2,14,0.8571428571428571,0.14285714285714285,1.0,1.0,4.0
DJM Short,1,1,0,1,0.0,0.0,1.0,0.0,0.0
DL Chahar,47,79,0,79,0.0,0.0,1.0,60.0,12.0
DL Vettori,18,29,2,29,0.41379310344827586,0.06896551724137931,1.0,1.0,6.0
DNT Zoysa,2,2,0,2,0.0,0.0,1.0,0.0,1.0
DP Nannes,21,37,3,37,0.4864864864864865,0.08108108108108109,1.0,17.0,19.0
