batsman,bowler,balls_faced,runs_scored,dismissals,strike_rate,avg_dismissal_type,bowler_type
AB de Villiers,R Tewatia,14,22,0,157.14285714285714,,Unknown
AB de Villiers,R Vinay Kumar,13,14,1,107.6923076923077,caught,Unknown
AB de Villiers,RA Jadeja,81,101,2,124.69135802469135,"caught, bowled",Unknown
AB de Villiers,RD Chahar,28,34,0,121.42857142857142,,Unknown
AB de Villiers,RE van der Merwe,5,7,1,140.0,bowled,Unknown
AB de Villiers,RG Sharma,13,20,0,153.84615384615387,,Unknown
AB de Villiers,RJ Harris,5,10,0,200.0,,Unknown
AB de Villiers,RP Singh,11,11,1,100.0,caught,Unknown
AB de Villiers,RR Powar,3,5,0,166.66666666666669,,Unknown
AB de Villiers,RR Raje,7,9,0,128.57142857142858,,Unknown
AB de Villiers,RS Bopara,8,20,0,250.0,,Unknown
AB de Villiers,RV Patel,4,5,0,125.0,,Unknown
AB de Villiers,Rashid Khan,43,45,3,104.65116279069768,"bowled, caught",Spin
AB de Villiers,Ravi Bishnoi,15,14,0,93.33333333333333,,Unknown
AB de Villiers,S Badree,1,1,0,100.0,,Unknown
AB de Villiers,S Gopal,34,30,4,88.23529411764706,"caught, stumped, caught and bowled",Unknown
AB de Villiers,S Kaul,24,52,1,216.66666666666666,bowled,Unknown
AB de Villiers,S Kaushik,5,12,0,240.0,,Unknown
AB de Villiers,S Lamichhane,11,13,0,118.18181818181819,,Unknown
AB de Villiers,S Nadeem,56,77,1,137.5,caught,Unknown
AB de Villiers,S Randiv,12,13,0,108.33333333333333,,Unknown
AB de Villiers,S Sreesanth,11,8,2,72.72727272727273,caught,Unknown
AB de Villiers,S Tyagi,1,0,1,0.0,bowled,Unknown
AB de Villiers,SB Jakati,30,55,2,183.33333333333331,"caught, lbw",Unknown
AB de Villiers,SE Rutherford,2,1,1,50.0,caught,Unknown
AB de Villiers,SJ Srivastava,5,7,0,140.0,,Unknown
AB de Villiers,SK Raina,1,1,0,100.0,,Unknown
AB de Villiers,SK Trivedi,26,38,1,146.15384615384613,bowled,Unknown
AB de Villiers,SK Warne,38,43,2,113.1578947368421,"lbw, caught",Unknown
AB de Villiers,SL Malinga,64,124,1,193.75,run out,Unknown
AB de Villiers,SM Curran,3,6,0,200.0,,Unknown
AB de Villiers,SM Pollock,9,3,0,33.33333333333333,,Unknown
AB de Villiers,SMSM Senanayake,3,4,0,133.33333333333331,,Unknown
AB de Villiers,SN Thakur,29,48,2,165.51724137931035,caught,Unknown
AB de Villiers,SP Narine,40,53,4,132.5,"bowled, caught",Unknown
AB de Villiers,SR Tendulkar,6,19,0,316.66666666666663,,Unknown
AB de Villiers,SR Watson,50,53,1,106.0,caught,Unknown
AB de Villiers,SS Cottrell,9,12,0,133.33333333333331,,Unknown
AB de Villiers,SS Sarkar,1,4,0,400.0,,Unknown
AB de Villiers,STR Binny,15,16,0,106.66666666666667,,Unknown
AB de Villiers,SW Tait,7,1,0,14.285714285714285,,Unknown
AB de Villiers,Sandeep Sharma,57,107,2,187.71929824561403,caught,Unknown
AB de Villiers,Shakib Al Hasan,33,49,0,148.4848484848485,,Unknown
AB de Villiers,Shivam Sharma,8,17,0,212.5,,Unknown
AB de Villiers,Shoaib Ahmed,6,4,1,66.66666666666666,caught,Unknown
AB de Villiers,Shoaib Akhtar,9,4,1,44.44444444444444,caught,Unknown
AB de Villiers,T Natarajan,20,25,1,125.0,bowled,Unknown
AB de Villiers,TA Boult,21,55,1,261.9047619047619,caught,Unknown
AB de Villiers,TG Southee,17,23,0,135.29411764705884,,Unknown
AB de Villiers,TK Curran,2,5,0,250.0,,Unknown
AB de Villiers,UT Yadav,26,42,1,161.53846153846155,run out,Unknown
AB de Villiers,Umran Malik,1,1,0,100.0,,Unknown
AB de Villiers,V Pratap Singh,8,4,0,50.0,,Unknown
AB de Villiers,VR Aaron,16,32,0,200.0,,Unknown
AB de Villiers,WPUJC Vaas,9,8,0,88.88888888888889,,Unknown
AB de Villiers,YA Abdulla,2,2,0,100.0,,Unknown
AB de Villiers,YK Pathan,14,23,0,164.28571428571428,,Unknown
