batter,matches,total_runs,balls_faced,fours,sixes,dismissals,strike_rate,batting_average,powerplay_runs,death_overs_runs,StrikeRate_Powerplay,StrikeRate_DeathOvers,Boundary_Percentage,Impact
Anuj Rawat,21,318,258,26,14,14,123.25581395348836,22.714285714285715,83.0,127.0,32.17054263565892,49.224806201550386,59.11949685534591,27.996677740863785
Anureet Singh,7,36,43,2,1,4,83.72093023255815,9.0,0.0,29.0,0.0,67.44186046511628,38.88888888888889,7.5348837209302335
Arjun Tendulkar,1,13,9,0,1,1,144.44444444444443,13.0,0.0,13.0,0.0,144.44444444444443,46.15384615384615,18.777777777777775
Arshad Khan,6,96,63,5,6,4,152.38095238095238,24.0,0.0,62.0,0.0,98.4126984126984,58.333333333333336,36.57142857142857
Arshad Khan (2),1,5,4,1,0,1,125.0,5.0,0.0,5.0,0.0,125.0,80.0,6.25
Arshdeep Singh,11,29,39,4,0,5,74.35897435897436,5.8,0.0,25.0,0.0,64.1025641025641,55.172413793103445,4.3128205128205135
Ashutosh Sharma,9,183,105,10,14,8,174.28571428571428,22.875,0.0,112.0,0.0,106.66666666666667,67.75956284153006,39.86785714285714
Atharva Taide,9,247,164,27,8,8,150.609756097561,30.875,144.0,0.0,87.8048780487805,0.0,63.1578947368421,46.50076219512195
Avesh Khan,8,41,24,3,3,1,170.83333333333331,41.0,0.0,29.0,0.0,120.83333333333333,73.17073170731707,70.04166666666666
Azhar Mahmood,20,388,291,39,13,18,133.33333333333331,21.55555555555556,22.0,96.0,7.560137457044673,32.98969072164948,60.30927835051546,28.740740740740744
Azmatullah Omarzai,4,42,33,2,2,4,127.27272727272728,10.5,0.0,0.0,0.0,0.0,47.61904761904761,13.363636363636365
B Akhil,10,63,44,5,4,6,143.1818181818182,10.5,0.0,49.0,0.0,111.36363636363636,69.84126984126983,15.03409090909091
B Chipli,17,237,203,24,6,14,116.7487684729064,16.928571428571427,37.0,61.0,18.226600985221676,30.049261083743843,55.69620253164557,19.763898662913437
B Indrajith,3,21,30,2,0,3,70.0,7.0,19.0,0.0,63.33333333333333,0.0,38.095238095238095,4.9
B Kumar,45,213,205,23,2,24,103.90243902439023,8.875,0.0,177.0,0.0,86.34146341463415,48.82629107981221,9.221341463414634
